site,sample name,lab number,bottom increment (cm),Mid Point Section (cm),bulk density (g/cm^3),%Nitrogen,%Carbon,%Hydrogen,LOI550,LOI950,C density (g/cm^3),Culmulative carbon mass (g/cm^2),Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^2,Peat Accretion Rate averaged across entire core (cm/yr),Average carbon accumulation rate (g/cm^2/yr) ,Average carbon accumulation (g/m^2/yr),Age for Midpoint of section estimated from rBacon model (yrbp),Accretion Rate Obtained using rBacon age-depth model (cmyr-1),Modelled Carbon accumulation rate (gcm-2yr-1),Modelled Carbon Accumulation rate (gm-2yr-1),Carbon Density (gcm-3),OM density (gcm-3)
DB-02,DB-02-01,11,40,38,0.146210373,1.4262,43.279,4.9818,81.57820696,0.055236239,0.063278387,1.989681195,19.89681195,0.011865758,0.000750846,7.508459998,3495.8194,0.008746348,0.000553455,5.534547947,0.0596379,0.1192758
DB-02,DB-02-01,12,44,42,0.165195763,1.5359,43.488,5.0394,82.38330588,0.045589337,0.071840334,2.277042529,22.77042529,0.011865758,0.00085244,8.524399802,3943.65916,0.008268077,0.000593981,5.939814096,0.068046865,0.136093731
DB-02,DB-02-01,13,48,46,0.219869248,1.6689,43.876,5.1915,82.92404111,0.044642768,0.096469831,2.662921854,26.62921854,0.011865758,0.001144688,11.44687626,4399.21803,0.008483498,0.000818402,8.184016191,0.091162233,0.182324465
DB-02,DB-02-02,40,54,52,0.126821768,1.6062,44.843,5.0892,82.06848444,0.048244804,0.056870685,3.004145965,30.04145965,0.011865758,0.000674814,6.748137634,5139.38399,0.008149007,0.00046344,4.634396126,0.052040351,0.104080703
DB-02,DB-02-02,41,58,56,0.143980278,1.6243,43.595,4.7812,77.42097492,0.046023886,0.062768202,3.255218773,32.55218773,0.011865758,0.000744792,7.447922668,5618.4132,0.007802221,0.000489731,4.897313838,0.055735467,0.111470935
DB-02,DB-02-02,42,62,60,0.183977356,2.0031,41.934,4.462,73.72967887,0.039831425,0.077149064,3.563815031,35.63815031,0.011865758,0.000915432,9.154320927,6109.63794,0.007852432,0.000605808,6.058077817,0.067822957,0.135645914
DB-02,DB-02-02,43,66,64,0.169791819,2.3318,42.541,5.1411,76.76073251,0.040808566,0.072231138,3.852739581,38.52739581,0.011865758,0.000857077,8.570771669,6607.4929,0.008291718,0.00059892,5.989202243,0.065166722,0.130333444
DB-02,DB-02-02,44,70,68,0.123704894,2.862,50.811,5.2395,85.44258043,0.037305182,0.062855694,4.104162356,41.04162356,0.011865758,0.00074583,7.458304224,7072.7016,0.008213641,0.000516274,5.162741031,0.052848327,0.105696654
DB-02,DB-02-02,45,74,72,0.123907962,2.6389,49.631,5.4219,83.80020824,0.061351167,0.061496761,4.350149399,43.50149399,0.011865758,0.000729706,7.297056517,7559.23082,0.008281962,0.000509314,5.093138346,0.051917565,0.10383513
DB-02,DB-02-02,46,78,76,0.152827611,2.6278,47.864,5.4819,85.78621102,0.032201559,0.073149408,4.64274703,46.4274703,0.011865758,0.000867973,8.679731392,8022.06991,0.008691117,0.00063575,6.357500627,0.065552509,0.131105017
DB-02,DB-02-02,47,82,80,0.129978086,2.318,39.978,4.8022,72.51734829,0.024627196,0.051962639,4.850597588,48.50597588,0.011865758,0.000616576,6.165760795,8475.33606,0.018109496,0.000941017,9.410172085,0.047128331,0.094256661
DB-02,DB-02-02,48,86,84,0.136230095,2.3419,38.578,4.6253,69.30372818,0.029379566,0.052554846,5.060816972,50.60816972,0.011865758,0.000623603,6.236030611,8716.56517,0.018346658,0.000964206,9.642057864,0.047206267,0.094412535
DB-02,DB-02-02,49,90,88,0.101140248,2.6518,46.646,5.2758,84.12069824,0.021829181,0.04717788,5.249528493,52.49528493,0.011865758,0.000559801,5.598012887,8930.84213,0.018527205,0.000874074,8.740742588,0.042539942,0.085079883
DB-02,DB-02-02,50,94,92,0.127059167,3.0506,48.11,5.4379,84.99219039,0.037609437,0.061128165,5.494041154,54.94041154,0.011865758,0.000725332,7.253319898,9147.61131,0.018677798,0.00114174,11.41739525,0.053995185,0.107990369
DB-02,DB-02-02,51,98,96,0.119165814,3.0068,44.662,5.3223,82.53736307,0.022654667,0.053221836,5.706928499,57.06928499,0.011865758,0.000631517,6.315174029,9358.92657,0.018722954,0.00099647,9.964699883,0.04917816,0.098356321
DB-02,DB-02-02,52,100,99,0.091328394,3.0373,44.924,5.4262,84.86950987,0.019159771,0.041028368,5.788985234,57.88985234,0.011865758,0.000486833,4.868326642,9515.58634,0.018410285,0.000755344,7.553439431,0.03875498,0.07750996
DB-02,DB-02-03,80,104,102,0.111420015,2.6669,44.641,5.2155,83.42719228,0.024859212,0.049739009,5.987941269,59.87941269,0.011865758,0.000590191,5.901910182,9675.52836,0.018309627,0.000910703,9.10702697,0.046477295,0.09295459
DB-02,DB-02-03,81,108,106,0.121739956,2.9529,44.711,5.1814,82.58812187,0.023226987,0.054431152,6.205665876,62.05665876,0.011865758,0.000645867,6.458668504,9885.91448,0.019103613,0.001039832,10.39831659,0.050271372,0.100542743
DB-02,DB-02-03,82,112,110,0.125197955,2.9418,42.751,5.2142,80.40402207,0.025687574,0.053523378,6.419759387,64.19759387,0.011865758,0.000635095,6.35095422,10093.8295,0.01853851,0.000992244,9.922436712,0.050332096,0.100664191
DB-02,DB-02-03,83,116,114,0.130432432,3.1002,43.126,5.0396,80.53046166,0.020011965,0.056250291,6.64476055,66.4476055,0.011865758,0.000667452,6.674523128,10300.4254,0.018591397,0.001045771,10.45771488,0.05251892,0.10503784
DB-02,DB-02-03,84,120,118,0.133880935,3.0826,41.408,5.04,77.6522266,0.019610219,0.055437418,6.86651022,68.6651022,0.011865758,0.000657807,6.578069559,10513.28822,0.018490077,0.001025042,10.25042119,0.051980764,0.103961527
DB-02,DB-02-03,85,124,122,0.136152666,2.804,38.505,4.9347,73.19653993,0.0169483,0.052425584,7.076212557,70.76212557,0.011865758,0.000622069,6.220692704,10723.97294,0.019116765,0.001002208,10.02207571,0.04982952,0.099659041
DB-02,DB-02-03,86,128,126,0.206302411,2.1507,31.049,3.9976,59.44942871,0.005391052,0.064054835,7.332431898,73.32431898,0.011865758,0.000760059,7.600591472,10938.50624,0.018254898,0.001169314,11.69314487,0.061322802,0.122645604
DB-02,DB-02-03,87,132,130,0.247843682,1.2682,21.513,2.8584,41.2226451,0.012071836,0.053318611,7.545706343,75.45706343,0.011865758,0.000632666,6.326657134,11147.41558,0.018986405,0.001012329,10.12328746,0.051083861,0.102167721
