site,bottom increment (cm),Mid Point Section (cm),Age for Midpoint of section estimated from rBacon model (yrbp),param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value
DB-01,82,80,9455.981,bulk density (g/cm^3),0.162084733,%Nitrogen,2.4399,%Carbon,40.08,%Hydrogen,4.7375,C density (g/cm^3),0.064963561,Culmulative carbon mass (g/cm^2),5.068216767,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^23,50.68216767,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000520287,Average carbon accumulation (g/m^2/yr),5.202865853,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.006276488,Modelled Carbon accumulation rate (gcm-2yr-1),0.000407743,Modelled Carbon Accumulation rate (gm-2yr-1),4.077430119,Carbon Density (gcm-3),0.060688945,OM density (gcm-3),0.12137789
DB-01,86,84,10071.9883,bulk density (g/cm^3),0.177479182,%Nitrogen,2.5503,%Carbon,34.508,%Hydrogen,4.3331,C density (g/cm^3),0.061244516,Culmulative carbon mass (g/cm^2),5.313194831,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^24,53.13194831,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000490501,Average carbon accumulation (g/m^2/yr),4.905011299,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.005719474,Modelled Carbon accumulation rate (gcm-2yr-1),0.000350286,Modelled Carbon Accumulation rate (gm-2yr-1),3.502864174,Carbon Density (gcm-3),0.058565256,OM density (gcm-3),0.117130512
DB-01,90,88,10679.763,bulk density (g/cm^3),0.245747991,%Nitrogen,1.4803,%Carbon,24.137,%Hydrogen,3.0971,C density (g/cm^3),0.059316193,Culmulative carbon mass (g/cm^2),5.431827216,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^25,54.31827216,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000475057,Average carbon accumulation (g/m^2/yr),4.750573827,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.00593854,Modelled Carbon accumulation rate (gcm-2yr-1),0.000352252,Modelled Carbon Accumulation rate (gm-2yr-1),3.522515827,Carbon Density (gcm-3),0.054359031,OM density (gcm-3),0.108718062
DB-01,92,91,11125.0593,bulk density (g/cm^3),0.230061359,%Nitrogen,1.4505,%Carbon,26.406,%Hydrogen,3.3128,C density (g/cm^3),0.060750002,Culmulative carbon mass (g/cm^2),5.674827226,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^26,56.74827226,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000486541,Average carbon accumulation (g/m^2/yr),4.865406196,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.007619421,Modelled Carbon accumulation rate (gcm-2yr-1),0.00046288,Modelled Carbon Accumulation rate (gm-2yr-1),4.628798438,Carbon Density (gcm-3),0.055549889,OM density (gcm-3),0.111099778
DB-02,4,2,89.05107,bulk density (g/cm^3),0.073801315,%Nitrogen,2.5102,%Carbon,39.616,%Hydrogen,5.0707,C density (g/cm^3),0.029237129,Culmulative carbon mass (g/cm^2),0.116948516,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^27,1.169485155,Peat Accretion Rate averaged across entire core (cm/yr),0.011865758,Average carbon accumulation rate (g/cm^2/yr) ,0.000346921,Average carbon accumulation (g/m^2/yr),3.469206827,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.011585301,Modelled Carbon accumulation rate (gcm-2yr-1),0.000338721,Modelled Carbon Accumulation rate (gm-2yr-1),3.387209385,Carbon Density (gcm-3),0.030250579,OM density (gcm-3),0.060501158
DB-02,8,6,429.08281,bulk density (g/cm^3),0.08707962,%Nitrogen,2.4858,%Carbon,39.717,%Hydrogen,5.0895,C density (g/cm^3),0.034585413,Culmulative carbon mass (g/cm^2),0.255290166,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^28,2.552901665,Peat Accretion Rate averaged across entire core (cm/yr),0.011865758,Average carbon accumulation rate (g/cm^2/yr) ,0.000410382,Average carbon accumulation (g/m^2/yr),4.103821223,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.011714776,Modelled Carbon accumulation rate (gcm-2yr-1),0.00040516,Modelled Carbon Accumulation rate (gm-2yr-1),4.051603631,Carbon Density (gcm-3),0.035884785,OM density (gcm-3),0.07176957
DB-02,12,10,724.48738,bulk density (g/cm^3),0.135617969,%Nitrogen,2.2474,%Carbon,37.711,%Hydrogen,4.8218,C density (g/cm^3),0.051142892,Culmulative carbon mass (g/cm^2),0.459861736,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^29,4.598617361,Peat Accretion Rate averaged across entire core (cm/yr),0.011865758,Average carbon accumulation rate (g/cm^2/yr) ,0.000606849,Average carbon accumulation (g/m^2/yr),6.068491617,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.012754119,Modelled Carbon accumulation rate (gcm-2yr-1),0.000652283,Modelled Carbon Accumulation rate (gm-2yr-1),6.522825358,Carbon Density (gcm-3),0.052044256,OM density (gcm-3),0.104088512
DB-02,16,14,1030.28314,bulk density (g/cm^3),0.148630387,%Nitrogen,1.7478,%Carbon,38.748,%Hydrogen,4.8107,C density (g/cm^3),0.057591302,Culmulative carbon mass (g/cm^2),0.690226946,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^30,6.902269458,Peat Accretion Rate averaged across entire core (cm/yr),0.011865758,Average carbon accumulation rate (g/cm^2/yr) ,0.000683364,Average carbon accumulation (g/m^2/yr),6.833644313,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.014002645,Modelled Carbon accumulation rate (gcm-2yr-1),0.000806431,Modelled Carbon Accumulation rate (gm-2yr-1),8.064305627,Carbon Density (gcm-3),0.05669038,OM density (gcm-3),0.113380761
DB-02,20,18,1331.29714,bulk density (g/cm^3),0.134685902,%Nitrogen,1.7739,%Carbon,40.206,%Hydrogen,4.942,C density (g/cm^3),0.054151814,Culmulative carbon mass (g/cm^2),0.906834201,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^31,9.06834201,Peat Accretion Rate averaged across entire core (cm/yr),0.011865758,Average carbon accumulation rate (g/cm^2/yr) ,0.000642552,Average carbon accumulation (g/m^2/yr),6.425522935,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.012702027,Modelled Carbon accumulation rate (gcm-2yr-1),0.000687838,Modelled Carbon Accumulation rate (gm-2yr-1),6.878378011,Carbon Density (gcm-3),0.053900578,OM density (gcm-3),0.107801156
DB-02,24,22,1630.43055,bulk density (g/cm^3),0.128843682,%Nitrogen,1.577,%Carbon,42.836,%Hydrogen,5.1273,C density (g/cm^3),0.055191479,Culmulative carbon mass (g/cm^2),1.127600119,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^32,11.27600119,Peat Accretion Rate averaged across entire core (cm/yr),0.011865758,Average carbon accumulation rate (g/cm^2/yr) ,0.000654889,Average carbon accumulation (g/m^2/yr),6.548887135,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.016087192,Modelled Carbon accumulation rate (gcm-2yr-1),0.000887876,Modelled Carbon Accumulation rate (gm-2yr-1),8.878759261,Carbon Density (gcm-3),0.053978413,OM density (gcm-3),0.107956827
